pathDomainRatio,domain_token_count,domainUrlRatio,SymbolCount_Domain,LongestPathTokenLength,domainlength,tld,NumberofDotsinURL,argDomanRatio,pathurlRatio,host_letter_count,delimeter_path,pathLength,Entropy_Domain,urlLen,subDirLen,ldl_url,CharacterContinuityRate,longdomaintokenlen,SymbolCount_Directoryname,Target
5.0833335,2.0,0.15,1.0,48.0,12.0,2.0,1.0,0.16666667,0.7625,11.0,7.0,61.0,0.860528527,80.0,61.0,0.0,0.75,8.0,2.8788417987706243,0
3.1764705,3.0,0.21794872,2.0,40.0,17.0,3.0,3.0,0.11764706,0.6923077,15.0,8.0,54.0,0.776795596,78.0,54.0,2.0,0.64705884,10.0,2.0,0
6.0,2.0,0.12676056,1.0,22.0,9.0,2.0,1.0,0.7777778,0.7605634,8.0,3.0,54.0,1.0,71.0,54.0,0.0,0.6666667,5.0,4.0,0
4.7,2.0,0.15625,1.0,33.0,10.0,2.0,1.0,0.2,0.734375,9.0,3.0,47.0,0.879588002,64.0,47.0,0.0,0.8,7.0,2.0,0
3.6923077,2.0,0.19117647,1.0,39.0,13.0,2.0,2.0,2.6923077,0.7058824,12.0,4.0,48.0,0.833699597,68.0,48.0,0.0,0.7692308,9.0,1.0,0
4.1666665,2.0,0.17391305,1.0,44.0,12.0,2.0,2.0,0.16666667,0.7246377,11.0,8.0,50.0,0.860528527,69.0,50.0,0.0,0.8333333,9.0,2.8788417987706243,0
7.6,2.0,0.10752688,1.0,61.0,10.0,2.0,1.0,0.2,0.8172043,9.0,8.0,76.0,0.939794001,93.0,76.0,0.0,0.7,6.0,2.0,0
6.625,2.0,0.11764706,1.0,45.0,8.0,2.0,1.0,0.25,0.7794118,7.0,8.0,53.0,0.916666667,68.0,53.0,0.0,0.625,4.0,1.0,0
8.166667,2.0,0.09677419,1.0,17.0,6.0,2.0,2.0,0.33333334,0.7903226,5.0,2.0,49.0,1.0,62.0,49.0,0.0,0.6666667,3.0,5.0,0
8.1,2.0,0.10204082,1.0,27.0,10.0,2.0,1.0,0.2,0.82653064,9.0,7.0,81.0,0.939794001,98.0,81.0,1.0,0.7,6.0,2.8788417987706243,0
2.8333333,2.0,0.2264151,1.0,28.0,12.0,2.0,2.0,0.16666667,0.6415094,11.0,4.0,34.0,0.860528527,53.0,34.0,0.0,0.8333333,9.0,2.8788417987706243,0
7.9166665,2.0,0.10526316,1.0,40.0,12.0,2.0,5.0,3.0833333,0.8333333,11.0,4.0,95.0,0.860528527,114.0,95.0,12.0,0.75,8.0,1.0,0
3.6666667,2.0,0.1904762,1.0,38.0,12.0,2.0,2.0,0.16666667,0.6984127,11.0,7.0,44.0,0.860528527,63.0,44.0,0.0,0.8333333,9.0,2.8788417987706243,0
9.4,2.0,0.09009009,1.0,77.0,10.0,2.0,1.0,0.2,0.8468468,9.0,14.0,94.0,0.879588002,111.0,94.0,0.0,0.7,6.0,3.0,0
4.0,2.0,0.18055555,1.0,43.0,13.0,2.0,2.0,3.0,0.7222222,12.0,4.0,52.0,0.833699597,72.0,52.0,0.0,0.7692308,9.0,1.0,0
3.7,2.0,0.18518518,1.0,18.0,10.0,2.0,2.0,0.2,0.6851852,9.0,3.0,37.0,0.939794001,54.0,37.0,2.0,0.7,6.0,2.0,0
2.2,2.0,0.27272728,1.0,16.0,15.0,2.0,1.0,0.13333334,0.6,14.0,3.0,33.0,0.89761679,55.0,33.0,0.0,0.8,11.0,1.0,0
3.1764705,2.0,0.21794872,1.0,47.0,17.0,2.0,1.0,0.11764706,0.6923077,16.0,6.0,54.0,0.719230763,78.0,54.0,0.0,0.8235294,13.0,1.0,0
4.571429,2.0,0.16470589,1.0,49.0,14.0,2.0,1.0,0.14285715,0.7529412,13.0,8.0,64.0,0.798230986,85.0,64.0,0.0,0.78571427,10.0,2.0,0
3.8,3.0,0.18181819,2.0,16.0,10.0,3.0,2.0,0.2,0.6909091,8.0,5.0,38.0,0.819382003,55.0,38.0,0.0,0.4,3.0,2.0,0
7.9,2.0,0.104166664,1.0,23.0,10.0,2.0,1.0,0.2,0.8229167,9.0,4.0,79.0,0.939794001,96.0,79.0,1.0,0.7,6.0,2.8788417987706243,0
8.0,2.0,0.101265825,1.0,48.0,8.0,2.0,1.0,0.25,0.8101266,7.0,10.0,64.0,0.916666667,79.0,64.0,0.0,0.625,4.0,1.0,0
3.7272727,2.0,0.18644068,1.0,9.0,11.0,2.0,1.0,0.18181819,0.69491524,9.0,0.0,41.0,1.0,59.0,41.0,1.0,0.6363636,7.0,4.0,0
7.7272725,3.0,0.106796116,2.0,72.0,11.0,3.0,2.0,0.18181819,0.8252427,9.0,11.0,85.0,0.894885518,103.0,85.0,0.0,0.54545456,5.0,3.0,0
6.875,2.0,0.114285715,1.0,45.0,8.0,2.0,1.0,0.25,0.78571427,7.0,6.0,55.0,0.916666667,70.0,55.0,0.0,0.625,4.0,2.0,0
4.5,2.0,0.16438356,1.0,23.0,12.0,2.0,1.0,1.0833334,0.739726,11.0,4.0,54.0,0.953509509,73.0,54.0,0.0,0.75,8.0,3.0,0
10.75,2.0,0.07920792,1.0,70.0,8.0,2.0,1.0,0.25,0.85148513,7.0,14.0,86.0,0.916666667,101.0,86.0,0.0,0.625,4.0,1.0,0
6.6666665,2.0,0.118421055,1.0,53.0,9.0,2.0,2.0,5.4444447,0.7894737,5.0,1.0,60.0,0.859793388,76.0,60.0,1.0,0.7777778,5.0,2.8788417987706243,0
4.0,2.0,0.17910448,1.0,22.0,12.0,2.0,1.0,0.16666667,0.7164179,11.0,3.0,48.0,0.860528527,67.0,48.0,0.0,0.75,8.0,3.0,0
1.7647059,2.0,0.3148148,1.0,25.0,17.0,2.0,1.0,0.11764706,0.5555556,16.0,4.0,30.0,0.78765934,54.0,30.0,0.0,0.8235294,13.0,1.0,0
11.333333,2.0,0.076271184,1.0,44.0,9.0,2.0,2.0,2.5555556,0.86440676,8.0,8.0,102.0,0.929896694,118.0,102.0,0.0,0.6666667,5.0,4.0,0
3.4545455,2.0,0.19298245,1.0,32.0,11.0,2.0,1.0,0.18181819,0.6666667,10.0,4.0,38.0,1.0,57.0,38.0,0.0,0.72727275,7.0,1.0,0
4.3333335,2.0,0.1724138,1.0,24.0,15.0,2.0,1.0,0.13333334,0.74712646,14.0,0.0,65.0,0.89761679,87.0,65.0,7.0,0.8,11.0,9.0,0
4.2,3.0,0.16949153,2.0,10.0,10.0,3.0,3.0,0.2,0.7118644,8.0,1.0,42.0,0.796657624,59.0,42.0,0.0,0.4,3.0,3.0,0
4.4444447,2.0,0.16071428,1.0,32.0,9.0,2.0,1.0,0.22222222,0.71428573,8.0,0.0,40.0,0.763230027,56.0,40.0,9.0,0.7777778,6.0,1.0,0
8.3,2.0,0.1,1.0,68.0,10.0,2.0,1.0,0.2,0.83,9.0,9.0,83.0,0.939794001,100.0,83.0,0.0,0.7,6.0,2.0,0
5.285714,2.0,0.14736842,1.0,56.0,14.0,2.0,1.0,0.14285715,0.77894735,13.0,6.0,74.0,0.835752348,95.0,74.0,0.0,0.78571427,10.0,4.0,0
6.769231,2.0,0.12037037,1.0,73.0,13.0,2.0,1.0,0.15384616,0.8148148,12.0,11.0,88.0,0.833699597,108.0,88.0,0.0,0.7692308,9.0,3.0,0
5.4166665,2.0,0.14285715,1.0,60.0,12.0,2.0,1.0,0.16666667,0.77380955,11.0,8.0,65.0,1.0,84.0,65.0,0.0,0.75,8.0,1.0,0
4.3333335,2.0,0.1724138,1.0,24.0,15.0,2.0,1.0,0.13333334,0.74712646,14.0,0.0,65.0,0.89761679,87.0,65.0,7.0,0.8,11.0,9.0,0
4.7272725,2.0,0.15714286,1.0,51.0,11.0,2.0,1.0,4.2727275,0.74285716,10.0,4.0,52.0,0.894885518,70.0,52.0,0.0,0.8181818,8.0,2.8788417987706243,0
3.25,2.0,0.20689656,1.0,33.0,12.0,2.0,2.0,0.16666667,0.67241377,11.0,5.0,39.0,0.860528527,58.0,39.0,0.0,0.8333333,9.0,2.8788417987706243,0
2.9375,2.0,0.22857143,1.0,38.0,16.0,2.0,1.0,0.125,0.67142856,15.0,4.0,47.0,0.9375,70.0,47.0,0.0,0.8125,12.0,1.0,0
10.166667,2.0,0.08510638,1.0,40.0,12.0,2.0,11.0,5.3333335,0.8652482,11.0,10.0,122.0,0.860528527,141.0,122.0,10.0,0.75,8.0,1.0,0
9.166667,2.0,0.093023255,1.0,40.0,12.0,2.0,9.0,4.3333335,0.85271317,11.0,8.0,110.0,0.860528527,129.0,110.0,12.0,0.75,8.0,1.0,0
7.923077,2.0,0.10569106,1.0,77.0,13.0,2.0,2.0,5.6923075,0.83739835,12.0,3.0,103.0,0.958424899,123.0,103.0,3.0,0.7692308,9.0,1.0,0
4.4666667,3.0,0.16853933,2.0,19.0,15.0,3.0,2.0,0.13333334,0.752809,13.0,5.0,67.0,0.769470978,89.0,67.0,0.0,0.6,8.0,3.0,0
3.7272727,2.0,0.18644068,1.0,35.0,11.0,2.0,2.0,2.8181818,0.69491524,10.0,1.0,41.0,0.894885518,59.0,41.0,1.0,0.72727275,7.0,2.8788417987706243,0
5.1666665,3.0,0.14814815,2.0,21.0,12.0,3.0,2.0,0.16666667,0.7654321,10.0,3.0,62.0,0.907019018,81.0,62.0,0.0,0.5,5.0,3.0,0
14.0,2.0,0.06185567,1.0,75.0,6.0,2.0,1.0,0.33333334,0.8659794,5.0,13.0,84.0,1.0,97.0,84.0,0.0,0.6666667,3.0,1.0,0
4.769231,3.0,0.15853658,2.0,38.0,13.0,3.0,3.0,0.15384616,0.75609756,11.0,10.0,62.0,0.916849799,82.0,62.0,0.0,0.53846157,6.0,2.0,0
13.166667,2.0,0.06521739,1.0,50.0,6.0,2.0,1.0,0.33333334,0.8586956,5.0,11.0,79.0,1.0,92.0,79.0,0.0,0.6666667,3.0,3.0,0
7.5,2.0,0.110091746,1.0,64.0,12.0,2.0,1.0,0.16666667,0.82568806,9.0,8.0,90.0,1.0,109.0,90.0,1.0,0.75,8.0,4.0,0
4.0,2.0,0.17910448,1.0,22.0,12.0,2.0,1.0,0.16666667,0.7164179,11.0,3.0,48.0,0.860528527,67.0,48.0,0.0,0.75,8.0,3.0,0
6.6,2.0,0.12048193,1.0,23.0,10.0,2.0,1.0,0.2,0.79518074,9.0,3.0,66.0,0.939794001,83.0,66.0,1.0,0.7,6.0,2.8788417987706243,0
4.5555553,2.0,0.15517241,1.0,15.0,9.0,2.0,1.0,0.22222222,0.70689654,8.0,2.0,41.0,0.833333333,58.0,41.0,0.0,0.6666667,5.0,3.0,0
3.7272727,2.0,0.18644068,1.0,30.0,11.0,2.0,1.0,2.6363637,0.69491524,10.0,0.0,41.0,0.947442759,59.0,41.0,0.0,0.72727275,7.0,2.0,0
3.1176472,2.0,0.22077923,1.0,38.0,17.0,2.0,2.0,0.11764706,0.6883117,16.0,6.0,53.0,0.798523083,77.0,53.0,0.0,0.8235294,13.0,1.0,0
